"1","AuthorIssue","2017-10-17T11:14:27-03:00"
"2","Reactions","2017-10-17T11:33:04-03:00"
"3","AuthorIssue","2017-10-17T16:15:51-03:00"
"4","AuthorIssue","2017-10-17T16:38:40-03:00"
"5","EditorIssue","2017-10-17T16:39:13-03:00"
"6","AuthorIssue","2017-10-17T19:20:11-03:00"
"7","Starred","2018-09-25T08:03:58-04:00"
"8","AuthorIssue","2019-01-14T20:22:05-03:00"
"9","Releases",""
"10","Taggers",""
"11","AuthorPullRequest",""
"12","EditorPullRequest",""
"13","Merged",""
"14","Watcher","False"
"15","AssigneeIssues","False"
"16","ParticipantIssue","True"
"17","AssigneePullRequest","False"
"18","ParticipantPullRequest","False"
"19","SuggestedReviewer","False"
